Year,Month,Date,Open,High,Low,Close,Adj Close,Volume
2019,4,4/1/19,2153.310059,2252.050049,2153.310059,2203.590088,2203.590088,9689800
2019,5,5/1/19,2192.939941,2217.030029,2016.25,2041.73999,2041.73999,11243200
2019,6,6/1/19,2031.030029,2141.27002,2029.170044,2130.620117,2130.620117,11256800
2019,7,7/1/19,2147.23999,2147.23999,2010.949951,2024.550049,2024.550049,11908800
2019,8,8/1/19,2015.089966,2032.22998,1891.810059,1967.790039,1967.790039,10472000
2019,9,9/1/19,1961.189941,2101.629883,1958.589966,2063.050049,2063.050049,8620700
2019,10,10/1/19,2062.439941,2105.169922,2010.900024,2083.47998,2083.47998,8884300
2019,11,11/1/19,2084.790039,2165.889893,2081.530029,2087.959961,2087.959961,10737800
2019,12,12/1/19,2097.550049,2215.550049,2053.560059,2197.669922,2197.669922,10188600
2020,1,1/1/20,2201.209961,2277.22998,2119.01001,2119.01001,2119.01001,13095500
2020,2,2/1/20,2086.610107,2255.48999,1980.819946,1987.01001,1987.01001,13958600
2020,3,3/1/20,1997.030029,2089.080078,1439.430054,1754.640015,1754.640015,17090800
2020,4,4/1/20,1737.280029,1957.51001,1664.130005,1947.560059,1947.560059,21045000
2020,5,5/1/20,1906.420044,2054.52002,1894.290039,2029.599976,2029.599976,16205400
2020,6,6/1/20,2037.040039,2217.209961,2030.819946,2108.330078,2108.330078,19862100
2020,7,7/1/20,2128.810059,2281.409912,2101.330078,2249.370117,2249.370117,18866300
2020,8,8/1/20,2251.649902,2458.169922,2237.040039,2326.169922,2326.169922,17631500
2020,9,9/1/20,2340.189941,2450.530029,2267.629883,2327.889893,2327.889893,19606800
2020,10,10/1/20,2330.550049,2418.889893,2266.929932,2267.149902,2267.149902,15693300
2020,11,11/1/20,2276.610107,2648.659912,2267.949951,2591.340088,2591.340088,24375000
2020,12,12/1/20,2613.419922,2878.209961,2611.669922,2873.469971,2873.469971,24557500
2021,1,1/1/21,2874.5,3266.22998,2869.110107,2976.209961,2976.209961,26092000
2021,2,2/1/21,2976.810059,3180.939941,2947.23999,3012.949951,3012.949951,30029700
2021,3,3/1/21,3021.679932,3096.5,2929.360107,3061.419922,3061.419922,27902000
2021,4,4/1/21,3073.77002,3223.050049,3069.679932,3147.860107,3147.860107,30640900
2021,5,5/1/21,3149.050049,3255.899902,3103.879883,3203.919922,3203.919922,18776200
2021,6,6/1/21,3207.120117,3316.080078,3199.179932,3296.679932,3296.679932,35336100
2021,7,7/1/21,3297.919922,3313.51001,3188.800049,3202.320068,3202.320068,22105700
2021,8,8/1/21,3218.419922,3296.169922,3049.030029,3199.27002,3199.27002,13766700
2021,9,9/1/21,3195.669922,3215.129883,3030.600098,3068.820068,3068.820068,14249700
2021,10,10/1/21,3056.209961,3062.600098,2901.51001,2970.679932,2970.679932,13901200
2021,11,11/1/21,2984.179932,3034.300049,2822.72998,2839.01001,2839.01001,13771400
2021,12,12/1/21,2860.120117,3043.830078,2837.030029,2977.649902,2977.649902,10656300
2022,1,1/1/22,2998.320068,3010.77002,2591.530029,2663.340088,2663.340088,10916900
2022,2,2/1/22,2706.340088,2788.27002,2642.629883,2699.179932,2699.179932,10111500
2022,3,3/1/22,2698.310059,2765.199951,2605.810059,2757.649902,2757.649902,14388900
2022,4,4/1/22,2745.850098,2769.179932,2615.5,2695.050049,2695.050049,22014500
2022,5,5/1/22,2669.209961,2702.100098,2546.800049,2685.899902,2685.899902,16851600
2022,6,6/1/22,2670.73999,2681.51001,2306.47998,2332.639893,2332.639893,12006600
2022,7,7/1/22,2342.919922,2463.050049,2276.629883,2451.5,2451.5,7950200
2022,8,8/1/22,2444.050049,2546.350098,2417.01001,2472.050049,2472.050049,9760600
2022,9,9/1/22,2443,2453.949951,2134.77002,2155.48999,2155.48999,9370100
2022,10,10/1/22,2189.51001,2295.51001,2162.870117,2293.610107,2293.610107,11769900
2022,11,11/1/22,2301.580078,2499.429932,2296.439941,2472.530029,2472.530029,12745000
2022,12,12/1/22,2501.429932,2501.429932,2236.379883,2236.399902,2236.399902,8429100
2023,1,1/1/23,2249.949951,2410.219971,2180.669922,2395.26001,2395.26001,6771400
