Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,690.179993,705.510010,689.049988,699.770020,699.770020,13459900
2016-05-01,700.429993,706.489990,678.479980,698.450012,698.450012,14548200
2016-06-01,699.489990,707.809998,626.989990,675.090027,675.090027,20675400
2016-07-01,679.210022,710.419983,679.210022,706.239990,706.239990,19760400
2016-08-01,708.840027,709.669983,656.210022,663.690002,663.690002,14400700
2016-09-01,664.330017,690.570007,652.909973,681.210022,681.210022,13928500
2016-10-01,682.320007,687.929993,623.369995,624.679993,624.679993,11633100
2016-11-01,621.690002,631.200012,581.640015,596.109985,596.109985,13352600
2016-12-01,596.520020,631.510010,573.539978,631.440002,631.440002,13886900
2017-01-01,632.890015,645.919983,609.250000,616.130005,616.130005,14319000
2017-02-01,617.299988,624.130005,604.750000,612.200012,612.200012,18456000
2017-03-01,614.580017,619.479980,596.849976,619.280029,619.280029,18855000
2017-04-01,621.469971,638.020020,614.210022,628.239990,628.239990,15834700
2017-05-01,629.210022,652.520020,626.400024,652.039978,652.039978,13190500
2017-06-01,653.570007,678.820007,651.099976,669.039978,669.039978,13157500
2017-07-01,671.169983,679.479980,643.770020,650.469971,650.469971,11606800
2017-08-01,650.890015,658.940002,626.080017,657.830017,657.830017,12697500
2017-09-01,660.710022,677.969971,637.359985,652.820007,652.820007,13843500
2017-10-01,658.760010,694.229980,652.169983,694.200012,694.200012,9568700
2017-11-01,696.650024,803.739990,691.520020,771.419983,771.419983,16789200
2017-12-01,779.539978,798.679993,740.049988,798.419983,798.419983,21442000
2018-01-01,803.630005,932.010010,800.539978,913.570007,913.570007,25448100
2018-02-01,916.780029,919.900024,814.460022,857.059998,857.059998,16070200
2018-03-01,866.500000,895.719971,822.960022,871.090027,871.090027,18717700
2018-04-01,876.849976,906.059998,857.400024,875.950012,875.950012,23023900
2018-05-01,869.520020,884.640015,815.270020,879.659973,879.659973,21459300
2018-06-01,879.609985,887.950012,802.000000,818.219971,818.219971,15799000
2018-07-01,818.750000,831.409973,744.109985,775.520020,775.520020,13734900
2018-08-01,779.000000,817.830017,743.679993,816.969971,816.969971,13102100
2018-09-01,817.929993,837.969971,810.280029,822.270020,822.270020,10957400
2018-10-01,824.859985,825.530029,617.000000,648.669983,648.669983,11766800
2018-11-01,655.109985,710.450012,651.190002,695.760010,695.760010,12641000
2018-12-01,704.380005,711.770020,652.840027,675.650024,675.650024,11535600
2019-01-01,682.159973,721.580017,648.950012,716.859985,716.859985,15020700
2019-02-01,719.080017,755.919983,714.659973,731.250000,731.250000,13731000
2019-03-01,739.190002,762.409973,714.530029,729.309998,729.309998,15573100
2019-04-01,731.500000,770.659973,729.739990,754.739990,754.739990,18551400
2019-05-01,753.510010,762.719971,684.070007,696.469971,696.469971,17265300
2019-06-01,693.260010,730.859985,687.289978,690.530029,690.530029,16254900
2019-07-01,696.380005,699.440002,610.700012,630.179993,630.179993,18132200
2019-08-01,627.940002,634.440002,540.830017,610.549988,610.549988,16017300
2019-09-01,609.460022,651.450012,608.969971,621.760010,621.760010,15231700
2019-10-01,623.700012,662.270020,619.530029,658.520020,658.520020,10985200
2019-11-01,658.159973,673.859985,629.739990,632.989990,632.989990,21900
2019-12-01,635.580017,669.830017,613.770020,669.830017,669.830017,15800
2020-01-01,672.530029,691.169983,637.429993,642.479980,642.479980,17800
2020-02-01,631.820007,692.640015,608.380005,610.729980,610.729980,21800
2020-03-01,617.880005,650.809998,419.549988,569.070007,569.070007,29200
2020-04-01,568.880005,651.390015,542.750000,645.179993,645.179993,31900
2020-05-01,637.000000,730.409973,635.159973,713.679993,713.679993,27700
2020-06-01,716.960022,766.960022,693.150024,737.969971,737.969971,30800
2020-07-01,743.530029,818.700012,726.359985,815.299988,815.299988,27800
2020-08-01,820.409973,862.760010,781.409973,848.239990,848.239990,1546700
2020-09-01,850.580017,905.559998,799.530029,848.150024,848.150024,42800
2020-10-01,848.669983,878.150024,766.960022,792.650024,792.650024,36600
2020-11-01,796.460022,891.530029,789.849976,886.109985,886.109985,41600
2020-12-01,889.530029,971.039978,883.239990,968.419983,968.419983,43300
2021-01-01,968.859985,1007.520020,918.679993,928.729980,928.729980,41900
2021-02-01,927.919983,987.890015,904.179993,913.940002,913.940002,50300
2021-03-01,919.169983,962.650024,877.729980,956.169983,956.169983,54000
2021-04-01,956.869995,1032.640015,954.929993,983.450012,983.450012,55400
2021-05-01,982.969971,993.059998,944.150024,981.780029,981.780029,28000
2021-06-01,982.250000,1030.939941,977.739990,1029.959961,1029.959961,34400
2021-07-01,1030.479980,1060.209961,1013.909973,1031.140015,1031.140015,35900
2021-08-01,1033.170044,1062.030029,964.020020,1038.329956,1038.329956,3683700
2021-09-01,1038.089966,1056.300049,989.070007,1003.270020,1003.270020,991700
2021-10-01,998.700012,1013.169983,922.359985,992.330017,992.330017,1297000
